Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YEL014C			132.5	22.43	57.3	21.84		0.432	0.180		-1.209	0.602											23.045	0.766	18.035	0.173
YEL015W	EDC3		154.0	23.00	148.5	24.55		0.964	0.215		-0.052	0.321											22.34	1.512	16.175	-0.053
YEL017C-A	PMP2		5068.5	182.45	3451.5	143.89		0.681	0.038		-0.554	0.079		1									10.935	-2.057	12.74	0.456
YEL017W	GTT3				73.5	23.09													Abundance Low						16.355	-1.434
YEL018W	EAF5																		Abundance Low	Abundance Low						
YEL019C	MMS21		62.0	21.56																Abundance Low			27.235	0.161		
YEL020C																			Abundance Low	Abundance Low						
YEL022W	GEA2		263.5	25.13	166.5	25.52		0.632	0.114		-0.662	0.260		1									17.84	-0.739		
YEL024W	RIP1		119.5	22.23	353.5	29.05		2.958	0.602		1.565	0.293				1	1						27.915	5.277	18.14	3.384
YEL025C																			Abundance Low	Abundance Low						
YEL027W	CUP5		2158.0	83.00	1621.5	73.69		0.751	0.045		-0.412	0.086		1									12.72	-1.141		
YEL029C	BUD16																		Abundance Low	Abundance Low						
YEL031W	SPF1		1279.5	54.29	916.6	47.87		0.716	0.048		-0.481	0.097		1									11.465	-3.174	12.68	-0.502
YEL036C	ANP1		133.5	22.44	63.0	21.97		0.472	0.183		-1.083	0.558											21.05	-1.345		
YEL037C	RAD23		66.5	21.63																Abundance Low			26.805	0.659		
YEL038W	UTR4		93.5	22.01	56.0	22.78		0.599	0.282		-0.740	0.678											24.675	0.413	17.77	-0.616
YEL039C	CYC7				81.5	22.29													Abundance Low							
YEL040W	UTR2		684.0	35.97	749.0	43.30		1.095	0.086		0.131	0.113											14.415	-1.464	11.89	-1.542
YEL042W	GDA1		80.5	21.64																Abundance Low			23.505	-3.305		
YEL043W			66.0	21.61	60.0	22.63		0.909	0.454		-0.138	0.721											24.08	-2.478		
YEL044W	IES6				235.8	25.57													Failed QC							
YEL046C	GLY1		7490.0	266.92	6170.5	252.44		0.824	0.045		-0.280	0.078		1									11.24	-1.447	11.01	-0.989
YEL047C			651.0	35.04	640.5	39.43		0.984	0.080		-0.023	0.118											16.54	0.537	14.485	0.843
YEL048C			72.0	21.70																Abundance Low			25.745	-0.021		
YEL050C	RML2																		Abundance Low	Abundance Low						
YEL051W	VMA8		978.0	44.55	720.5	40.35		0.737	0.053		-0.441	0.104		1									12.11	-3.049	14.855	1.265
YEL052W	AFG1		111.0	22.28	129.5	24.09		1.167	0.319		0.222	0.395											25.365	2.246	17.255	0.750
YEL053C	MAK10																		Abundance Low	Abundance Low						
YEL054C	RPL12A		1248.0	53.39	1097.0	54.58		0.879	0.058		-0.186	0.095											13.005	-1.651	11.03	-1.952
YEL055C	POL5		172.0	23.34	70.5	22.86		0.410	0.144		-1.287	0.507		1	1								20.25	-0.059	19.005	0.547
YEL058W	PCM1		70.5	21.67	87.0	23.13		1.234	0.502		0.303	0.586											39.155	12.535	34.845	16.505
YEL059C-A	SOM1																		Abundance Low	Abundance Low						
YEL060C	PRB1		169.5	23.28	118.0	23.78		0.696	0.170		-0.522	0.352											26.23	5.387	19.725	3.062
YEL061C	CIN8																		Abundance Low	Abundance Low						
YEL062W	NPR2																		Abundance Low	Failed QC/Abundance Low						
YEL063C	CAN1		651.5	34.65	1008.5	50.93		1.548	0.114		0.630	0.106				1							13.815	-2.175	13.64	0.421
YEL065W	SIT1		147.5	22.71																Abundance Low			46.615	25.000		
YEL066W	HPA3		96.5	22.05																Failed QC			25.2	0.335		
YEL071W	DLD3		1188.5	51.38	2404.5	105.83		2.023	0.125		1.017	0.089				1	1						20.105	5.337	16.64	4.156
YEL073C																			Abundance Low	Abundance Low						
YER001W	MNN1		90.5	21.96	98.8	22.59		1.092	0.364		0.126	0.481											26.145	1.691	16.315	-0.238
YER002W	NOP16		351.0	27.10	286.5	28.43		0.816	0.103		-0.293	0.181											16.5	-1.156	13.9	-0.798
YER003C	PMI40		704.5	36.53	525.5	35.66		0.746	0.064		-0.423	0.123		1									15.69	-0.181	15.02	1.166
YER004W	FMP52		162.5	23.16	128.5	24.33		0.791	0.187		-0.339	0.342											22.815	1.912	16.405	0.000
YER005W	YND1																		Abundance Low	Abundance Low						
YER006W	NUG1		559.0	32.43	322.5	28.91		0.577	0.062		-0.794	0.154		1									17.675	1.451	15.43	0.794
YER007C-A			434.5	29.15	259.5	27.61		0.597	0.075		-0.744	0.181		1									17.2	0.205	16.085	1.171
YER008C	SEC3		153.5	22.99	59.5	22.01		0.387	0.155		-1.368	0.576		1	1								21.35	0.041		
YER011W	TIR1		139.0	22.76																Abundance Low			39.835	17.690		
YER013W	PRP22																		Abundance Low	Abundance Low						
YER014W	HEM14				49.5	21.78													Abundance Low							
YER016W	BIM1		66.5	21.62	63.0	22.92		0.947	0.462		-0.078	0.704											24.965	-1.532	17.135	-1.114
YER017C	AFG3		123.5	22.28	171.1	24.19		1.385	0.318		0.470	0.331											22.125	-0.666	14.33	-1.174
YER018C	SPC25		92.5	21.99																Abundance Low						
YER019C-A	SBH2		378.0	27.74	219.7	25.42		0.581	0.080		-0.783	0.198		1									15.955	-1.504	14.53	-0.537
YER020W	GPA2		164.5	23.18	168.0	24.02		1.021	0.205		0.030	0.290											23.115	2.717	16.115	-0.589
YER021W	RPN3																		Abundance Low	Abundance Low						
YER022W	SRB4		130.0	22.59	112.0	23.69		0.862	0.236		-0.215	0.395											21.175	-0.715	16.915	-0.085
YER023W	PRO3		612.5	33.91	563.5	36.88		0.920	0.079		-0.120	0.124											15.285	-0.794	12.95	-0.815
YER024W	YAT2				80.5	23.09													Abundance Low						20.7	2.800
YER025W	GCD11																		Abundance Low	Abundance Low						
YER027C	GAL83		159.5	23.10	143.0	24.61		0.897	0.202		-0.158	0.325											21.36	0.677	16.81	0.806
YER028C	MIG3																		Abundance Low	Abundance Low						
YER029C	SMB1		115.0	22.34	58.5	21.86		0.509	0.214		-0.976	0.608											21.24	-1.373	19.95	1.788
YER030W			200.0	23.85	158.3	23.77		0.791	0.152		-0.337	0.277											18.91	-1.000	16.355	0.732
YER031C	YPT31		467.0	29.65	290.5	27.04		0.622	0.070		-0.685	0.163		1									14.49	-2.389	15.65	0.446
YER032W	FIR1																		Abundance Low	Abundance Low						
YER033C	ZRG8																		Abundance Low	Abundance Low						
YER034W			160.5	23.11	106.5	22.77		0.663	0.171		-0.592	0.372											20.69	-0.036	18.835	2.110
YER035W	EDC2		220.5	24.26	172.8	24.29		0.784	0.140		-0.351	0.258											20.475	1.074	16.87	1.279
YER036C			2589.0	97.78	1723.0	78.35		0.666	0.039		-0.587	0.085		1									12.84	-0.806	12.995	0.296
YER037W	PHM8																		Abundance Low	Abundance Low						
YER038C	KRE29																		Abundance Low	Abundance Low						
YER040W	GLN3																		Abundance Low	Abundance Low						
YER042W	MXR1		174.5	23.38	82.2	22.59		0.471	0.144		-1.086	0.441		1	1								22.565	1.839	17.23	0.608
YER043C	SAH1		5778.5	206.78	3935.0	165.01		0.681	0.038		-0.554	0.080		1									12.05	-0.829	11.65	-0.571
YER044C	ERG28		58.5	21.51																Abundance Low			26.475	-1.097		
YER047C	SAP1																		Abundance Low	Abundance Low						
YER048W-A			566.5	32.64	624.4	37.39		1.102	0.092		0.140	0.120											16.745	0.425	11.8	-1.760
YER049W			105.0	22.20																Abundance Low			23.71	0.648		
YER052C	HOM3		690.5	36.15	1806.5	82.38		2.616	0.182		1.387	0.100				1	1						15.96	0.148	14.79	2.148
YER053C	PIC2				194.0	24.58													Abundance Low						17.81	1.645
YER053C-A			404.0	28.38	755.7	41.89		1.870	0.167		0.903	0.129				1							33.49	16.117	21.87	8.485
YER054C	GIP2																		Abundance Low	Abundance Low						
YER056C	FCY2		1542.5	62.44	2590.5	111.26		1.679	0.099		0.748	0.085				1							18.585	4.240	16.12	3.654
YER056C-A	RPL34A		3253.0	120.31	2967.5	126.85		0.912	0.052		-0.133	0.082											10.555	-2.833	9.225	-3.121
YER059W	PCL6		56.0	21.48	95.0	23.54		1.696	0.775		0.763	0.659											24.585	-2.627	15.66	-1.441
YER061C	CEM1				82.5	23.29													Abundance Low						17.83	0.329
YER062C	HOR2		238.5	24.62	372.5	30.81		1.562	0.207		0.643	0.191				1							32.545	13.207	23.215	8.872
YER063W	THO1																		Abundance Low	Abundance Low						
YER064C																			Abundance Low	Abundance Low						
YER067W			376.5	27.71	511.6	33.79		1.359	0.134		0.442	0.143				1							47.43	29.504	31.865	17.858
YER068W	MOT2		254.5	24.95	354.0	29.78		1.391	0.180		0.476	0.186				1							17.015	-1.665	13.89	-0.582
YER069W	ARG5,6				1006.5	51.74													Abundance Low						16.11	2.961
YER070W	RNR1		27855.5	969.33	22099.0	876.23		0.793	0.042		-0.334	0.076		1									35.545	23.443	34.26	22.620
YER071C																			Abundance Low	Abundance Low						
YER072W	VTC1		1651.0	66.41	184.0	24.39		0.111	0.015		-3.166	0.200		1	1								17.43	3.196	17.435	0.920
YER073W	ALD5		477.0	30.23	784.0	44.19		1.644	0.139		0.717	0.122				1							24.71	7.831	19.32	5.889
YER074W	RPS24A		2685.0	101.03	2193.5	96.97		0.817	0.047		-0.292	0.084		1									14.455	0.845	11.49	-1.040
YER075C	PTP3																		Abundance Low	Abundance Low						
YER077C																			Abundance Low	Abundance Low						
YER078C					70.0	22.81													Abundance Low						18.54	-0.042
YER079W					58.0	22.80													Abundance Low						18.56	0.197
YER080W	FMP29		205.0	23.94	189.5	25.42		0.924	0.164		-0.113	0.257											20.295	0.555	15.685	0.006
YER081W	SER3		54.5	21.47	2307.5	102.24		42.339	16.784		5.404	0.572				1	1								18.23	5.717
YER083C	RMD7		191.0	23.68	127.0	24.31		0.665	0.152		-0.589	0.329											19.525	-0.508	15.195	-1.219
YER084W			73.0	21.72	49.5	21.76		0.678	0.360		-0.560	0.766											26.885	0.448	18.91	0.593
YER086W	ILV1		261.5	24.84	523.0	34.93		2.000	0.232		1.000	0.168				1							26.91	7.953	18.095	4.190
YER087C-A																			No Measurement	No Measurement						
YER088C	DOT6		200.0	23.84	93.0	23.29		0.465	0.129		-1.105	0.400		1	1								21.385	1.624	17.675	0.109
YER089C	PTC2		210.5	24.05	291.5	28.63		1.385	0.209		0.470	0.217											19.58	0.143	13.71	-1.013
YER090W	TRP2		592.5	33.36	953.5	49.79		1.609	0.124		0.686	0.111				1							16.25	0.082	15.675	2.500
YER091C	MET6		9004.5	317.79	11653.0	463.67		1.294	0.069		0.372	0.077				1							27.195	14.581	20.125	8.326
YER092W	IES5		102.5	22.16	60.2	21.92		0.587	0.249		-0.768	0.611											23.475	0.152	19.085	1.088
YER095W	RAD51		574.5	32.85	318.5	29.27		0.554	0.060		-0.851	0.156		1									21.595	5.240		
YER098W	UBP9																		Abundance Low	Abundance Low						
YER099C	PRS2		125.0	22.31	83.5	23.31		0.668	0.221		-0.582	0.478											21.295	-1.393	16.67	-0.800
YER100W	UBC6		50.5	21.25																Abundance Low						
YER101C	AST2																		Abundance Low	Abundance Low						
YER102W	RPS8B		6009.5	214.73	3715.3	153.34		0.618	0.034		-0.694	0.079		1									10.365	-2.481	10.425	-1.785
YER103W	SSA4		156.5	23.05																Failed QC			50.095	28.769		
YER104W	RTT105																		Abundance Low	Abundance Low						
YER105C	NUP157		184.5	23.55	118.0	23.06		0.640	0.149		-0.645	0.337											18.805	-1.263	17.205	0.583
YER107C	GLE2		119.5	22.42	128.0	23.17		1.071	0.279		0.099	0.376											24.125	1.254	17.175	-0.862
YER110C	KAP123		2687.0	101.09	1454.5	69.40		0.541	0.033		-0.885	0.088		1									15.54	1.940	14.775	1.942
YER111C	SWI4																		Abundance Low	Abundance Low						
YER112W	LSM4		159.0	23.10	160.4	23.84		1.009	0.210		0.012	0.300											20.38	-0.433	16.39	0.648
YER113C			122.0	22.26	120.7	23.04		0.989	0.261		-0.016	0.381											22.4	-0.776	16.01	-0.325
YER114C	BOI2		147.5	22.89	131.5	24.12		0.892	0.214		-0.166	0.347											20.59	-0.701	16.115	-0.170
YER116C	SLX8																		Abundance Low	Abundance Low						
YER117W	RPL23B				708.0	41.89													Failed QC							
YER118C	SHO1		168.5	23.03	60.5	21.93		0.359	0.139		-1.478	0.559		1	1								20.435	-0.438		
YER120W	SCS2		458.0	29.60	259.5	26.18		0.567	0.068		-0.820	0.173		1									16.525	-0.604	16.385	0.866
YER122C	GLO3		499.5	30.83	369.5	30.36		0.740	0.076		-0.435	0.148		1									13.71	-2.913	13.36	-1.053
YER123W	YCK3		101.0	21.94	138.5	23.49		1.371	0.378		0.456	0.398											22.065	-2.589	17.14	-0.239
YER124C	DSE1																		Abundance Low	Abundance Low						
YER126C	NSA2		4564.0	165.20	3927.5	163.81		0.861	0.048		-0.217	0.080		1									11.665	-1.414	8.75	-3.456
YER128W			233.0	24.50	243.2	25.79		1.044	0.156		0.062	0.215											19.945	0.686	17.75	2.864
YER129W	PAK1																		Abundance Low	Abundance Low						
YER131W	RPS26B		5087.0	183.29	3150.1	133.22		0.619	0.034		-0.691	0.080		1									13.255	0.284		
YER132C	PMD1		108.0	22.24	87.0	23.64		0.806	0.275		-0.312	0.492											24.56	1.084	18.02	0.062
YER133W	GLC7		1964.5	76.79	1597.0	73.94		0.813	0.049		-0.299	0.087		1									11.69	-2.329	10.56	-2.196
YER134C			181.0	23.50	232.9	25.59		1.287	0.219		0.363	0.245											20.16	-0.137	16.08	1.146
YER136W	GDI1		738.5	37.17	634.5	38.95		0.859	0.068		-0.219	0.115											14.235	-1.437	13.175	-0.585
YER139C					67.5	22.99													Abundance Low						16.93	-1.364
YER140W																			Abundance Low	Abundance Low						
YER141W	COX15		359.0	27.30	483.5	33.95		1.347	0.139		0.430	0.149				1							19.54	1.884	14.29	0.237
YER142C	MAG1																		Abundance Low	Abundance Low						
YER143W	DDI1		63.0	21.57	56.0	21.87		0.889	0.462		-0.170	0.749											32.325	5.828		
YER145C	FTR1		857.5	40.70	319.0	27.98		0.372	0.037		-1.427	0.144		1	1								19.085	3.741	22.79	7.856
YER147C	SCC4																		Abundance Low	Abundance Low						
YER148W	SPT15		330.5	26.64	217.0	26.50		0.657	0.096		-0.607	0.211		1									17.43	-0.491		
YER149C	PEA2		68.5	21.65	59.0	22.80		0.861	0.430		-0.215	0.720											24.595	-1.902	17.83	-0.804
YER150W	SPI1				54.5	22.09													Abundance Low							
YER151C	UBP3		448.5	29.50	498.5	34.42		1.111	0.106		0.152	0.138											13.985	-2.871	12.525	-1.451
YER152C			85.5	21.89																Abundance Low			26.555	1.690		
YER153C	PET122																		Failed QC/Abundance Low	Abundance Low						
YER154W	OXA1		397.0	27.90	393.0	30.02		0.990	0.103		-0.015	0.150											17.765	0.349	13.945	-0.569
YER155C	BEM2		211.0	24.06	186.5	26.07		0.884	0.159		-0.178	0.260											19.635	0.160	15.785	-0.011
YER156C			219.5	24.23	193.0	25.80		0.879	0.152		-0.186	0.250											20.13	0.828	13.92	-1.501
YER157W	COG3		125.5	22.32	78.1	22.31		0.622	0.209		-0.684	0.485											21.435	-1.304	16.105	-1.244
YER159C	BUR6		252.5	24.91	341.5	28.50		1.353	0.175		0.436	0.186				1							17.955	-0.911	12.68	-1.679
YER161C	SPT2		100.5	22.12	284.5	28.32		2.831	0.684		1.501	0.348				1	1						22.505	-0.642	13.515	-1.210
YER162C	RAD4																		Abundance Low	Abundance Low						
YER163C																			Abundance Low	Abundance Low						
YER164W	CHD1		177.5	23.43	167.0	25.64		0.941	0.191		-0.088	0.292											20.88	0.390	15.99	-0.042
YER165W	PAB1		8073.5	285.76	5768.0	233.44		0.714	0.038		-0.485	0.078		1									10.595	-2.037	10.52	-1.510
YER166W	DNF1		160.0	23.11	76.3	22.23		0.477	0.155		-1.069	0.469											20.42	-0.468	19.43	1.764
YER167W	BCK2																		Abundance Low	Abundance Low						
YER168C	CCA1		281.0	25.53	191.5	25.51		0.681	0.110		-0.553	0.233		1									20.605	2.234	16.17	0.573
YER169W	RPH1																		Abundance Low	Abundance Low						
YER170W	ADK2																		Abundance Low	Abundance Low						
YER171W	RAD3																		Abundance Low	Abundance Low						
YER172C	BRR2		99.5	21.91																Abundance Low						
YER173W	RAD24																		Abundance Low	Abundance Low						
YER174C	GRX4		45.5	21.34																Abundance Low						
YER175C	TMT1				122.0	24.12													Abundance Low						27.31	10.738
YER176W	ECM32		144.0	22.83	69.0	22.85		0.479	0.176		-1.061	0.530											21.31	-0.176	17.565	-0.917
YER177W	BMH1		3942.0	143.47	3386.0	143.96		0.859	0.048		-0.219	0.081		1									10.645	-2.556	8.78	-3.499
YER178W	PDA1		648.0	34.92	751.0	43.25		1.159	0.091		0.213	0.114											32.91	16.886	27.015	13.563
YER182W	FMP10																		Abundance Low	Abundance Low						
YER183C	FAU1																		Abundance Low	Abundance Low						
YFL001W	DEG1		102.5	22.15																Abundance Low			24.1	0.655		
YFL002C	SPB4		109.5	22.26	61.0	22.53		0.557	0.235		-0.844	0.608											22.375	-0.496		
YFL004W	VTC2		281.5	25.25	56.0	21.87		0.199	0.080		-2.330	0.578		1	1								20.205	1.613	18.275	0.155
YFL006W			83.5	21.86																Abundance Low			29.36	4.538		
YFL007W	BLM3		74.0	21.72																Abundance Low			27.875	2.364		
YFL008W	SMC1		126.0	22.52	104.0	23.42		0.825	0.237		-0.277	0.415											20.97	-1.153	16.39	-0.974
YFL010C	WWM1																		Failed QC	No Measurement						
YFL013C	IES1		100.0	22.11	89.0	23.20		0.890	0.304		-0.168	0.493											21.1	-1.906	17.9	0.147
YFL014W	HSP12		83.0	21.69	668.4	38.89		8.053	2.156		3.009	0.386				1	1									
YFL016C	MDJ1		201.5	23.88	294.0	27.16		1.459	0.219		0.545	0.217				1							27.38	7.671	15.06	-0.014
YFL017C	GNA1																		Abundance Low	Abundance Low						
YFL017W-A	SMX2		231.0	24.46	223.6	25.46		0.968	0.150		-0.047	0.224											18.52	-0.531	15.085	0.078
YFL018C	LPD1		757.5	38.08	775.0	43.50		1.023	0.077		0.033	0.109											18.88	3.226	20.35	6.960
YFL021W	GAT1				77.5	23.02													Abundance Low						20.875	2.241
YFL023W	BUD27		97.5	22.07																Abundance Low			22.115	-1.423		
YFL024C	EPL1																		Abundance Low	Failed QC/Abundance Low						
YFL025C	BST1																		Abundance Low	Abundance Low					18.52	-0.166
YFL026W	STE2		812.5	39.34	361.0	29.19		0.444	0.042		-1.170	0.136		1	1								22.23	6.661		
YFL027C	GYP8																		Abundance Low	Abundance Low						
YFL028C	CAF16				210.5	26.32													Abundance Low						16.225	0.955
YFL029C	CAK1																		Abundance Low	Abundance Low						
YFL030W	AGX1																		Abundance Low	Abundance Low						
YFL031W	HAC1																		Abundance Low	Abundance Low						
YFL033C	RIM15																		Abundance Low	Failed QC/Abundance Low						
YFL034C-A	RPL22B		1744.0	69.49	2342.0	102.72		1.343	0.080		0.425	0.085				1							19.6	5.466	14.305	1.836
YFL034C-B	MOB2		66.0	21.61	63.5	22.88		0.962	0.468		-0.056	0.702											25.715	-0.722	17.09	-0.829
YFL034W																			Abundance Low	Abundance Low						
YFL036W	RPO41		2420.0	92.07	1307.5	62.80		0.540	0.033		-0.888	0.088		1									14.41	0.702		
YFL041W	FET5		325.0	26.21	208.0	25.03		0.640	0.093		-0.644	0.209		1									18.04	-0.089	15.685	-0.354
YFL044C	YOD1																		Abundance Low	Abundance Low						
YFL045C	SEC53				1144.5	56.37													Failed QC							
YFL046W	FMP32																		Abundance Low	Abundance Low						
YFL047W	RGD2		97.0	22.06	109.5	23.61		1.129	0.354		0.175	0.452											21.79	-1.877	17.755	0.588
YFL048C	EMP47		421.5	28.50	198.5	24.81		0.471	0.067		-1.086	0.205		1	1								18.47	1.272	16	0.010
YFL049W																			Abundance Low	Abundance Low						
YFL062W	COS4																		Abundance Low	Abundance Low						
YFR001W	LOC1		147.5	22.88	147.2	23.57		0.998	0.223		-0.003	0.322											20.845	-0.328	15.505	-0.146
YFR002W	NIC96		266.5	24.93	276.6	26.71		1.038	0.140		0.053	0.194											17.425	-1.509	13.6	-1.088
YFR004W	RPN11		1203.0	51.84	919.0	49.14		0.764	0.052		-0.388	0.099		1									13.095	-1.615	10.73	-2.525
YFR005C	SAD1																		Abundance Low	Abundance Low						
YFR006W			90.5	21.96	53.0	22.52		0.586	0.287		-0.772	0.706											28.575	4.425		
YFR008W	FAR7																		Abundance Low	Abundance Low						
YFR009W	GCN20		1274.5	54.13	725.0	41.73		0.569	0.041		-0.814	0.103		1									13.46	-1.160	13.79	0.301
YFR010W	UBP6		49.5	21.39	93.0	23.31		1.879	0.939		0.910	0.721													18.24	0.469
YFR011C			215.5	24.15	219.8	25.27		1.020	0.164		0.029	0.232											19.325	-0.094	15.205	0.159
